Time(s),EAR,MAR,PUC,MOE,Vertical Tilt,Horizontal Tilt
10.017,0.22361208299071733,0.2861866517050707,0.5380025035056679,1.2798353643391935,-0.06352587230503559,-0.012599881738424301
10.033,0.21788202683701846,0.2829839399007625,0.5319138875187115,1.2987943246573614,-0.0644376389682293,-0.012714460492134094
10.05,0.2168457356730999,0.2792948855578663,0.5268158546420512,1.2879888308198506,-0.06383681669831276,-0.012913651764392853
10.067,0.21100116775642824,0.279455832752876,0.5315532564645287,1.3244278964155745,-0.06379981338977814,-0.012703236192464828
10.083,0.2120952975779577,0.2765576756680163,0.5315627355857312,1.303931198976087,-0.06330584734678268,-0.012713614851236343
10.1,0.21790783572078146,0.2817578600781451,0.5333890791907645,1.2930138980370514,-0.06339352391660213,-0.012846533209085464
10.117,0.2302988287015491,0.29104904123935,0.5447430155136135,1.2637886301042758,-0.06478383764624596,-0.012111205607652664
10.133,0.23155063883985388,0.2857879609564644,0.5457223404402559,1.2342352514696469,-0.06450237706303596,-0.012323573231697083
10.15,0.21964200962225122,0.2845913490534466,0.5372497991015512,1.2957054506234837,-0.06521489843726158,-0.01241583377122879
10.167,0.22420961162081277,0.2844291738103543,0.5418461706883515,1.26858599751462,-0.0650368295609951,-0.012242641299962997
10.183,0.2303236411511726,0.28979333630521686,0.5503342694532725,1.2582005688031452,-0.06450296193361282,-0.012270163744688034
10.2,0.22945676010516974,0.28816409242062635,0.5492070564195211,1.2558535747151165,-0.06447721645236015,-0.011989779770374298
10.217,0.23612976452875328,0.28930230727935324,0.5529174027868768,1.225183567419876,-0.06257619522511959,-0.013242051005363464
10.233,0.23619645650520163,0.27936308271217625,0.5577499120580816,1.182757298080058,-0.06382284127175808,-0.01217750832438469
10.25,0.23786121050092196,0.278853314779414,0.5612270597718085,1.172336229989602,-0.064139474183321,-0.011926814913749695
10.267,0.23628152588180784,0.28572751549353315,0.5532435359038608,1.2092672688954067,-0.06346891820430756,-0.012102831155061722
10.283,0.23593955072084746,0.2872959952143545,0.5541214539028724,1.2176678065911448,-0.06390989013016224,-0.012011151760816574
10.3,0.22878490738541674,0.2772492950348361,0.5470519546910659,1.211833849545744,-0.06348208338022232,-0.011629696935415268
10.317,0.23544870027234271,0.28461594384533834,0.554410262784725,1.2088235930634743,-0.06387675367295742,-0.01185809075832367
10.333,0.23398334329785586,0.28693343761223283,0.551425879366993,1.226298562829631,-0.061627862975001335,-0.012492012232542038
10.35,0.23632042230986777,0.2857725443320832,0.554720396873162,1.2092587747552892,-0.06181074678897858,-0.012362685054540634
10.367,0.2354239320341664,0.2838521286751213,0.5507592376636654,1.205706345240749,-0.06237044557929039,-0.011590410023927689
10.383,0.23836528649697053,0.28717009960151735,0.5591152587348074,1.2047479891966866,-0.06243579462170601,-0.012251663953065872
10.4,0.23839631257548033,0.2745947573455527,0.5604999433006421,1.1518414625587439,-0.06236387602984905,-0.012036141008138657
10.417,0.23685900737563192,0.27404257661572656,0.5622438617910598,1.1569860891172512,-0.061813581734895706,-0.012481186538934708
10.433,0.2345351826583537,0.2788118508022377,0.560238622594048,1.1887847598898695,-0.06275159306824207,-0.011951211839914322
10.45,0.2423518052109433,0.280018181637466,0.5603447988735439,1.1554202428727025,-0.062359362840652466,-0.011341068893671036
10.467,0.242444220049286,0.2723135609126465,0.5686263370288409,1.1232008783599314,-0.061960598453879356,-0.011470392346382141
10.483,0.24388939559854284,0.27660858873511024,0.5718464365998404,1.1341558662535096,-0.06248109228909016,-0.011388029903173447
10.5,0.24246984896939672,0.27636244773413077,0.5691013322072057,1.139780673385959,-0.06225949712097645,-0.011576727032661438
10.517,0.23815186607887004,0.28108773181410035,0.568042249173875,1.1802877568929526,-0.06263304501771927,-0.010773319751024246
10.533,0.23579625573713614,0.2784998847118927,0.5685912031514253,1.1811039316178211,-0.06303508207201958,-0.010775633156299591
10.55,0.23604221622354932,0.28910061905679035,0.5671105073479947,1.2247835310230728,-0.06420224718749523,-0.010947570204734802
10.567,0.23659884370897666,0.2885279843077339,0.5611894480738162,1.219481802128465,-0.06377528049051762,-0.011273149400949478
10.583,0.24311465698048845,0.2847589886330262,0.572597708048247,1.1712950266749238,-0.06295869499444962,-0.011700984090566635
10.6,0.23118943506739417,0.2796405935183342,0.5635411794883802,1.2095734108127216,-0.06294096633791924,-0.011676818132400513
10.617,0.24230524357983588,0.285343662957075,0.5656504044500656,1.1776206686301387,-0.06381441839039326,-0.010690737515687943
10.633,0.23962100305339135,0.2808937916349645,0.5707855214329371,1.1722419489763045,-0.06392474099993706,-0.010867487639188766
10.65,0.2395219441786635,0.282790513006325,0.5682417662956205,1.1806455311476045,-0.06433000788092613,-0.010751336812973022
10.667,0.24120395310678863,0.276266508422059,0.5669724381884564,1.145364762325214,-0.0633302554488182,-0.010009698569774628
10.683,0.23657628405173448,0.2756483619954802,0.563009311757185,1.1651563600314283,-0.0633667279034853,-0.009737730026245117
10.7,0.23817425455782631,0.2716823503640747,0.5696066514037693,1.140687312608395,-0.06328442320227623,-0.010440956801176071
10.717,0.24269959465155244,0.2767055948970138,0.5771814149550898,1.1401156037952362,-0.06386009231209755,-0.010102059692144394
10.733,0.23535168987418242,0.28033105950413,0.5627625789594937,1.191115558396854,-0.061665719375014305,-0.010569699108600616
10.75,0.23956186655767164,0.28173863516764747,0.5631654754374799,1.1760579395044173,-0.061168041080236435,-0.010739579796791077
10.767,0.23475223032201858,0.2872440270193907,0.5669373586758601,1.2236051032416908,-0.06266472302377224,-0.010552603751420975
10.783,0.2362749862338106,0.28011652861843517,0.5689789162940038,1.1855530417478908,-0.062243228778243065,-0.01100178062915802
10.8,0.23940484856300678,0.2787143365152121,0.5697634463863369,1.1641967077448718,-0.06143023259937763,-0.010952204465866089
10.817,0.24598610014520367,0.2866883493047571,0.5734828659271287,1.1654656467805589,-0.062251459807157516,-0.011167503893375397
10.833,0.2357053362173582,0.28192944153332994,0.5664692872993811,1.1961097107845946,-0.06248514540493488,-0.010933749377727509
10.85,0.23712000163873262,0.2779753144958044,0.5623981272061029,1.1722980456086427,-0.06188479997217655,-0.011247023940086365
10.867,0.2403075571627598,0.28233531595862565,0.5688892165681818,1.174891540208203,-0.06094158627092838,-0.010936930775642395
10.883,0.2473002496063057,0.2899916290854352,0.5737451380114462,1.1726297468243272,-0.06207999587059021,-0.011235713958740234
10.9,0.24080652019391124,0.2883554146531608,0.5687040803308516,1.1974568397108203,-0.061926718801259995,-0.010924000293016434
10.917,0.2379864715434845,0.28199504310248164,0.5627855837930571,1.1849204758303076,-0.06137247756123543,-0.010833550244569778
10.933,0.23661339126382372,0.28292361940248245,0.563621295687865,1.1957210785547758,-0.06094201095402241,-0.010866168886423111
10.95,0.23529886546735823,0.27811184480886975,0.565385581282484,1.1819514907412536,-0.059212541207671165,-0.010913923382759094
