Fri Aug  4 14:28:54 2023||-0.201 0.060 -0.979 0.329 0.247 -0.696
Fri Aug  4 14:28:54 2023||-0.200 0.063 -0.981 0.546 0.647 -0.856
Fri Aug  4 14:28:54 2023||-0.202 0.057 -0.985 -0.032 -0.281 -1.188
Fri Aug  4 14:28:54 2023||-0.197 0.061 -0.976 -0.050 -0.173 -1.140
Fri Aug  4 14:28:54 2023||-0.200 0.060 -0.976 -0.108 0.079 -1.006
Fri Aug  4 14:28:54 2023||-0.202 0.058 -0.979 -0.145 -0.049 -0.955
Fri Aug  4 14:28:54 2023||-0.202 0.063 -0.979 -0.109 -0.120 -0.868
Fri Aug  4 14:28:54 2023||-0.201 0.060 -0.982 -0.083 -0.011 -0.939
Fri Aug  4 14:28:55 2023||-0.196 0.062 -0.985 -0.100 0.010 -0.986
Fri Aug  4 14:28:55 2023||-0.205 0.057 -0.980 -0.114 -0.022 -1.018
Fri Aug  4 14:28:55 2023||-0.200 0.062 -0.977 -0.135 0.025 -0.925
Fri Aug  4 14:28:55 2023||-0.203 0.060 -0.980 -0.119 0.048 -1.013
Fri Aug  4 14:28:55 2023||-0.198 0.061 -0.978 -0.129 0.037 -0.986
Fri Aug  4 14:28:55 2023||-0.200 0.060 -0.976 -0.118 0.041 -0.956
Fri Aug  4 14:28:55 2023||-0.199 0.060 -0.983 -0.131 0.057 -1.005
Fri Aug  4 14:28:55 2023||-0.199 0.062 -0.981 -0.127 0.058 -0.968
Fri Aug  4 14:28:55 2023||-0.199 0.063 -0.983 -0.114 0.058 -0.993
Fri Aug  4 14:28:55 2023||-0.200 0.063 -0.982 -0.136 0.048 -1.037
Fri Aug  4 14:28:55 2023||-0.195 0.063 -0.983 -0.120 0.045 -0.934
Fri Aug  4 14:28:55 2023||-0.198 0.061 -0.975 -0.142 0.093 -0.961
Fri Aug  4 14:28:56 2023||-0.199 0.059 -0.980 -0.146 0.041 -0.968
Fri Aug  4 14:28:56 2023||-0.195 0.061 -0.977 -0.141 0.161 -1.045
Fri Aug  4 14:28:56 2023||-0.204 0.059 -0.981 -0.149 0.065 -0.946
Fri Aug  4 14:28:56 2023||-0.197 0.062 -0.976 -0.123 0.080 -0.957
Fri Aug  4 14:28:56 2023||-0.200 0.058 -0.980 -0.114 0.060 -0.987
Fri Aug  4 14:28:56 2023||-0.195 0.062 -0.981 -0.131 0.073 -0.993
Fri Aug  4 14:28:56 2023||-0.201 0.060 -0.979 -0.139 0.071 -0.994
Fri Aug  4 14:28:56 2023||-0.197 0.061 -0.981 -0.139 0.099 -0.972
Fri Aug  4 14:28:56 2023||-0.203 0.063 -0.974 -0.201 -0.061 -2.000
Fri Aug  4 14:28:56 2023||-0.198 0.060 -0.981 0.496 0.122 -1.084
Fri Aug  4 14:28:56 2023||-0.204 0.065 -0.982 0.702 0.717 -0.109
Fri Aug  4 14:28:56 2023||-0.202 0.059 -0.983 1.999 -0.222 -0.672
Fri Aug  4 14:28:57 2023||-0.203 0.063 -0.984 1.046 0.226 0.346
Fri Aug  4 14:28:57 2023||-0.200 0.063 -0.977 1.004 0.104 0.052
Fri Aug  4 14:28:57 2023||-0.202 0.061 -0.984 1.058 0.148 -0.082
Fri Aug  4 14:28:57 2023||-0.197 0.060 -0.979 0.983 0.213 -0.324
